,city,lat,lng,temp,humidity,wind,cloudiness,country,date
0,pa sang,18.5262,98.9394,80.01,94,4.61,40,TH,Sat May  1 09:30:41 2021
1,port alfred,-33.5906,26.891,62.17,65,2.77,0,ZA,Sat May  1 09:30:42 2021
2,batemans bay,-35.7167,150.1833,57.99,96,1.01,100,AU,Sat May  1 09:30:42 2021
3,butaritari,3.0707,172.7902,82.2,75,9.37,100,KI,Sat May  1 09:30:43 2021
4,victoria,22.2855,114.1577,80.01,80,6.53,80,HK,Sat May  1 09:29:26 2021
5,port elizabeth,-33.918,25.5701,59.0,82,8.05,0,ZA,Sat May  1 09:27:23 2021
6,kahului,20.8947,-156.47,71.01,83,3.44,20,US,Sat May  1 09:30:44 2021
7,jamestown,42.097,-79.2353,53.01,36,12.66,1,US,Sat May  1 09:26:49 2021
8,rikitea,-23.1203,-134.9692,76.41,81,9.37,86,PF,Sat May  1 09:30:46 2021
9,alta floresta,-9.8756,-56.0861,87.8,66,5.75,75,BR,Sat May  1 09:30:46 2021
10,lebork,54.5392,17.7501,48.0,53,9.22,0,PL,Sat May  1 09:30:47 2021
11,ushuaia,-54.8,-68.3,42.8,75,10.36,20,AR,Sat May  1 09:30:07 2021
12,ribeira grande,38.5167,-28.7,62.6,94,11.5,75,PT,Sat May  1 09:30:48 2021
13,khatanga,71.9667,102.5,16.27,93,3.31,80,RU,Sat May  1 09:29:14 2021
14,lasa,46.6166,10.7002,55.99,87,11.5,40,IT,Sat May  1 09:30:49 2021
15,mandalgovi,45.7625,106.2708,46.8,26,20.71,5,MN,Sat May  1 09:30:50 2021
16,najran,17.4924,44.1277,84.2,17,6.91,40,SA,Sat May  1 09:30:50 2021
17,hilo,19.7297,-155.09,71.6,68,9.22,40,US,Sat May  1 09:26:58 2021
18,broken hill,-31.95,141.4333,60.8,48,8.05,23,AU,Sat May  1 09:30:51 2021
19,mataura,-46.1927,168.8643,46.0,87,5.99,3,NZ,Sat May  1 09:27:23 2021
20,rawson,-43.3002,-65.1023,65.73,46,18.57,100,AR,Sat May  1 09:27:55 2021
21,meadow lake,34.8014,-106.5436,69.01,44,8.05,1,US,Sat May  1 09:25:54 2021
22,bluff,-46.6,168.3333,46.0,87,7.0,3,NZ,Sat May  1 09:30:53 2021
23,kostomuksha,64.571,30.5767,31.98,72,15.17,82,RU,Sat May  1 09:30:53 2021
24,bambous virieux,-20.3428,57.7575,75.99,88,3.44,40,MU,Sat May  1 09:30:54 2021
25,biu,10.6129,12.1946,95.18,20,3.67,99,NG,Sat May  1 09:29:45 2021
26,hamilton,39.1834,-84.5333,61.0,44,13.8,1,US,Sat May  1 09:30:01 2021
27,sitka,57.0531,-135.33,42.8,87,4.61,40,US,Sat May  1 09:28:11 2021
28,sao joao da barra,-21.6403,-41.0511,77.0,69,10.36,75,BR,Sat May  1 09:30:56 2021
29,arraial do cabo,-22.9661,-42.0278,71.6,83,4.61,75,BR,Sat May  1 09:30:56 2021
30,ulaangom,49.9811,92.0667,45.59,37,16.11,99,MN,Sat May  1 09:30:57 2021
31,elko,41.0002,-115.5012,71.01,15,13.0,100,US,Sat May  1 09:27:41 2021
32,tukrah,32.5341,20.5791,84.63,28,2.15,17,LY,Sat May  1 09:30:58 2021
33,qaanaaq,77.484,-69.3632,35.73,69,4.92,99,GL,Sat May  1 09:30:58 2021
