,city,lat,lng,temp,humidity,wind,cloudiness,country,date
0,vaini,-21.2,-175.2,86.0,79,4.61,75,TO,Thu Apr 22 20:35:38 2021
1,ushuaia,-54.8,-68.3,41.0,93,10.36,75,AR,Thu Apr 22 20:30:53 2021
2,pokhara,28.2333,83.9833,81.91,18,7.0,0,NP,Thu Apr 22 20:35:39 2021
3,saint-philippe,-21.3585,55.7679,77.0,78,11.5,90,RE,Thu Apr 22 20:35:40 2021
4,morondava,-20.2833,44.2833,75.76,70,3.11,0,MG,Thu Apr 22 20:35:40 2021
5,rikitea,-23.1203,-134.9692,77.92,78,14.05,100,PF,Thu Apr 22 20:35:16 2021
6,cape town,-33.9258,18.4232,57.2,94,11.5,20,ZA,Thu Apr 22 20:35:41 2021
7,santa rosa,14.3122,121.1114,91.99,62,9.22,20,PH,Thu Apr 22 20:35:42 2021
8,bouza,14.4229,6.0428,86.38,32,4.94,88,NE,Thu Apr 22 20:35:42 2021
9,busselton,-33.65,115.3333,74.01,39,3.06,62,AU,Thu Apr 22 20:32:47 2021
10,atuona,-9.8,-139.0333,80.08,81,20.89,87,PF,Thu Apr 22 20:35:43 2021
11,deputatskiy,69.3,139.9,12.25,82,2.35,98,RU,Thu Apr 22 20:32:43 2021
12,leningradskiy,69.3833,178.4167,33.46,84,5.14,100,RU,Thu Apr 22 20:35:44 2021
13,akyab,20.15,92.9,86.76,66,12.46,33,MM,Thu Apr 22 20:35:45 2021
14,salinas,36.6777,-121.6555,53.6,76,10.36,90,US,Thu Apr 22 20:35:20 2021
15,kondopoga,62.2057,34.2614,35.6,93,4.47,97,RU,Thu Apr 22 20:35:46 2021
16,puerto ayora,-0.7393,-90.3518,77.0,94,4.0,44,EC,Thu Apr 22 20:35:47 2021
17,hermanus,-34.4187,19.2345,55.0,94,1.01,0,ZA,Thu Apr 22 20:35:47 2021
18,mataura,-46.1927,168.8643,52.0,90,7.0,100,NZ,Thu Apr 22 20:35:48 2021
19,yellowknife,62.456,-114.3525,14.0,57,12.66,90,CA,Thu Apr 22 20:33:44 2021
20,titay,7.8125,122.5344,85.57,63,5.79,88,PH,Thu Apr 22 20:35:49 2021
21,kintampo,8.0563,-1.7306,76.64,78,6.89,33,GH,Thu Apr 22 20:35:49 2021
22,bambous virieux,-20.3428,57.7575,73.99,94,3.44,75,MU,Thu Apr 22 20:34:15 2021
23,albany,42.6001,-73.9662,37.0,44,1.99,8,US,Thu Apr 22 20:35:50 2021
24,punta arenas,-53.15,-70.9167,46.4,93,6.91,75,CL,Thu Apr 22 20:33:24 2021
25,mehamn,71.0357,27.8492,32.0,86,9.22,75,NO,Thu Apr 22 20:34:56 2021
26,cody,44.5263,-109.0565,41.0,65,8.05,90,US,Thu Apr 22 20:34:03 2021
27,badarpur,24.9,92.6,92.43,37,3.51,2,IN,Thu Apr 22 20:35:52 2021
28,tual,-5.6667,132.75,82.92,75,8.1,24,ID,Thu Apr 22 20:35:53 2021
29,kodiak,57.79,-152.4072,42.8,87,8.05,90,US,Thu Apr 22 20:35:53 2021
30,jamestown,42.097,-79.2353,30.99,86,13.8,1,US,Thu Apr 22 20:35:54 2021
31,airai,-8.9266,125.4092,76.82,46,2.55,32,TL,Thu Apr 22 20:35:55 2021
32,longyearbyen,78.2186,15.6401,17.6,62,4.61,75,SJ,Thu Apr 22 20:35:56 2021
33,pevek,69.7008,170.3133,25.48,78,1.7,53,RU,Thu Apr 22 20:32:42 2021
34,opuwo,-18.0607,13.84,66.09,39,6.89,30,NA,Thu Apr 22 20:31:33 2021
35,gombe,10.2897,11.1673,81.5,61,13.09,89,NG,Thu Apr 22 20:35:57 2021
36,victoria,22.2855,114.1577,84.0,66,8.99,0,HK,Thu Apr 22 20:34:23 2021
37,faya,18.3851,42.4509,55.4,44,2.51,0,SA,Thu Apr 22 20:35:58 2021
38,keti bandar,24.1447,67.4497,85.42,65,18.68,0,PK,Thu Apr 22 20:35:59 2021
39,bluff,-46.6,168.3333,52.0,90,7.0,100,NZ,Thu Apr 22 20:32:59 2021
40,dikson,73.5069,80.5464,32.61,94,23.26,100,RU,Thu Apr 22 20:34:58 2021
41,mincivan,39.0294,46.7185,58.42,90,3.74,64,AZ,Thu Apr 22 20:36:01 2021
42,banda aceh,5.5577,95.3222,85.71,66,11.83,99,ID,Thu Apr 22 20:36:01 2021
43,norman wells,65.282,-126.8329,28.4,54,9.22,75,CA,Thu Apr 22 20:36:02 2021
44,sao miguel do araguaia,-13.275,-50.1628,70.32,83,2.89,36,BR,Thu Apr 22 20:36:03 2021
45,sur,22.5667,59.5289,87.94,42,3.36,0,OM,Thu Apr 22 20:36:03 2021
46,avera,33.194,-82.5271,46.4,66,3.4,1,US,Thu Apr 22 20:36:04 2021
47,bol,13.4586,14.7147,81.63,40,10.85,55,TD,Thu Apr 22 20:36:05 2021
48,fukue,32.6881,128.8419,71.6,53,9.22,0,JP,Thu Apr 22 20:36:06 2021
49,prince rupert,54.3161,-130.3201,53.6,32,9.22,1,CA,Thu Apr 22 20:36:07 2021
50,arraial do cabo,-22.9661,-42.0278,72.97,77,21.63,8,BR,Thu Apr 22 20:36:07 2021
51,the valley,18.217,-63.0578,79.0,78,10.36,20,AI,Thu Apr 22 20:36:08 2021
52,camden,39.7835,-74.9663,42.01,47,10.85,93,US,Thu Apr 22 20:36:09 2021
53,chifeng,42.2683,118.9636,59.67,53,5.93,100,CN,Thu Apr 22 20:36:10 2021
54,new norfolk,-42.7826,147.0587,55.0,65,4.0,98,AU,Thu Apr 22 20:35:41 2021
55,mitu,1.1983,-70.1733,72.91,97,1.39,81,CO,Thu Apr 22 20:33:25 2021
56,waterford,42.7023,-83.4027,37.99,44,5.75,1,US,Thu Apr 22 20:36:12 2021
57,khatanga,71.9667,102.5,31.77,92,15.32,100,RU,Thu Apr 22 20:36:13 2021
58,barrow,71.2906,-156.7887,24.8,80,6.91,1,US,Thu Apr 22 20:33:02 2021
59,east london,-33.0153,27.9116,60.8,88,5.75,0,ZA,Thu Apr 22 20:36:14 2021
60,luwuk,-0.9516,122.7875,86.56,66,4.65,91,ID,Thu Apr 22 20:36:14 2021
61,dudinka,69.4058,86.1778,33.39,96,20.09,100,RU,Thu Apr 22 20:36:15 2021
62,bengkulu,-3.8004,102.2655,83.01,63,4.38,63,ID,Thu Apr 22 20:36:16 2021
63,denia,38.8408,0.1057,59.0,86,5.01,82,ES,Thu Apr 22 20:33:12 2021
64,portland,45.5234,-122.6762,59.0,54,1.99,8,US,Thu Apr 22 20:29:01 2021
65,port hardy,50.6996,-127.4199,55.4,41,9.22,75,CA,Thu Apr 22 20:36:19 2021
66,roald,62.5833,6.1333,37.4,52,8.05,90,NO,Thu Apr 22 20:36:19 2021
67,hithadhoo,-0.6,73.0833,83.08,71,6.31,90,MV,Thu Apr 22 20:35:19 2021
68,castro,-24.7911,-50.0119,51.08,95,2.46,22,BR,Thu Apr 22 20:36:20 2021
69,arlit,18.7369,7.3853,78.46,8,4.32,19,NE,Thu Apr 22 20:36:21 2021
70,sindou,10.6667,-5.1667,78.76,66,7.4,89,BF,Thu Apr 22 20:36:22 2021
71,port alfred,-33.5906,26.891,66.07,80,19.55,1,ZA,Thu Apr 22 20:33:14 2021
72,hobart,-42.8794,147.3294,57.2,51,17.27,75,AU,Thu Apr 22 20:31:58 2021
73,lorengau,-2.0226,147.2712,85.15,66,9.98,96,PG,Thu Apr 22 20:36:23 2021
74,kavaratti,10.5669,72.642,83.73,67,4.14,15,IN,Thu Apr 22 20:36:24 2021
75,verkhnyaya inta,65.9811,60.3094,40.03,81,16.55,99,RU,Thu Apr 22 20:36:24 2021
76,beberibe,-4.1797,-38.1306,78.01,88,2.3,40,BR,Thu Apr 22 20:36:25 2021
77,port hedland,-20.3167,118.5667,93.2,11,19.57,0,AU,Thu Apr 22 20:36:26 2021
78,hambantota,6.1241,81.1185,84.2,84,5.75,20,LK,Thu Apr 22 20:36:27 2021
79,port augusta,-32.5,137.7667,66.2,52,9.22,75,AU,Thu Apr 22 20:36:27 2021
80,meulaboh,4.1363,96.1285,84.61,67,2.68,97,ID,Thu Apr 22 20:36:28 2021
81,kapaa,22.0752,-159.319,78.8,69,8.05,40,US,Thu Apr 22 20:36:01 2021
82,kurilsk,45.2333,147.8833,37.08,85,6.51,29,RU,Thu Apr 22 20:36:29 2021
83,alofi,-19.0595,-169.9187,84.2,74,11.5,40,NU,Thu Apr 22 20:36:30 2021
84,cortez,37.3489,-108.5859,53.6,32,16.11,75,US,Thu Apr 22 20:36:31 2021
85,talnakh,69.4865,88.3972,33.57,98,13.22,100,RU,Thu Apr 22 20:36:31 2021
86,nijar,36.9665,-2.206,59.0,77,5.75,0,ES,Thu Apr 22 20:36:32 2021
87,port lincoln,-34.7333,135.8667,64.42,56,10.96,70,AU,Thu Apr 22 20:36:32 2021
88,kruisfontein,-34.0033,24.7314,55.99,94,1.99,0,ZA,Thu Apr 22 20:34:25 2021
89,cockburn town,21.4612,-71.1419,78.17,77,15.7,1,TC,Thu Apr 22 20:36:33 2021
90,oudtshoorn,-33.5907,22.2014,60.8,88,3.44,0,ZA,Thu Apr 22 20:36:34 2021
91,komsomolskiy,40.4272,71.7189,57.2,41,2.3,26,UZ,Thu Apr 22 20:33:39 2021
92,asarganj,25.15,86.6833,96.71,16,12.41,19,IN,Thu Apr 22 20:36:35 2021
93,tuktoyaktuk,69.4541,-133.0374,12.2,73,2.3,20,CA,Thu Apr 22 20:36:35 2021
94,praxedis guerrero,31.3667,-106.0167,71.6,11,9.22,40,MX,Thu Apr 22 20:36:36 2021
